GEO_ID,NAME,VAL,TON,val_norm,ton_norm,vulnerability_score,rank,is_metro,INTPTLAT,INTPTLON,nearest_port,nearest_port_type,nearest_port_miles,nearest_seaport,nearest_seaport_miles,min_distance_to_neighbor_miles,num_commodities,max_comm_val,dominant_commodity,val_ton_ratio
E330000US3726800000,"Greensboro--Winston-Salem--High Point, NC CFS Area; North Carolina",866810,245436,0.107445579086412,0.0653541188839606,0.0906,62,1,36.0439535,-79.4005733,Port of Norfolk/Virginia,seaport,182.06,Port of Norfolk/Virginia,182.06,24.86,254,125862,All Commodities,3.5726
E330000US0647200000,"Sacramento-Roseville, CA CFS Area; California",747056,326943,0.0923846627014495,0.0874800510454351,0.0904,63,1,38.4501363,-121.3443291,Port of Oakland,seaport,68.09,Port of Oakland,68.09,85.7,272,108942,All Commodities,2.4242
E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",363627,586281,0.0441625397780415,0.1578800779743182,0.0896,64,1,28.1226209,-96.9675012,Port of Corpus Christi,seaport,34.09,Port of Corpus Christi,34.09,121.06,181,76679,All Commodities,0.6674
E330000US3745000000,"Raleigh-Durham-Cary, NC CFS Area; North Carolina",596094,406947,0.0733988579742027,0.1091979780535032,0.0877,65,1,35.7049939,-79.2514542,Port of Norfolk/Virginia,seaport,184.27,Port of Norfolk/Virginia,184.27,24.86,235,90050,All Commodities,1.4865
E330000US2454812580,"Baltimore-Columbia-Towson, MD CFS Area; Maryland",760818,291583,0.0941154469031451,0.0778812072500588,0.0876,66,1,39.3000324,-76.6104761,Port of Baltimore,seaport,3.07,Port of Baltimore,3.07,34.95,279,114945,All Commodities,2.6365
E330000US0114200000,"Birmingham-Hoover-Talladega, AL CFS Area; Alabama",517674,439882,0.0635363309362018,0.1181385301010349,0.0854,67,1,33.9773575,-86.56644,Atlanta Intermodal Hub,rail_intermodal,125.97,Port of Savannah,343.82,63.41,242,81316,All Commodities,1.1812
E330000US0699941740,"San Diego-Chula Vista-Carlsbad, CA CFS Area; California",786822,247921,0.0973858518138334,0.0660286982626798,0.0848,68,1,33.0236041,-116.7761174,Port of Long Beach,seaport,96.95,Port of Long Beach,96.95,163.91,234,147623,All Commodities,3.1925
E330000US3717200000,"Charlotte-Concord, NC-SC CFS Area (part); North Carolina",729927,286585,0.0902304262103258,0.0765244475982123,0.0847,69,1,35.4884909,-81.2268928,Port of Charleston,seaport,200.93,Port of Charleston,200.93,55.34,265,109987,All Commodities,2.5989
E330000US4736800000,"Memphis-Forrest City, TN-MS-AR CFS Area (part); Tennessee",862504,193737,0.1069040330340576,0.0513198817409414,0.0847,70,1,35.1845529,-89.8946125,Memphis Intermodal Hub,rail_intermodal,9.05,Port of New Orleans,361.41,134.57,251,134247,All Commodities,4.6116
E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",659780,324119,0.0814083567875427,0.086713446552275,0.0835,71,1,28.5559951,-82.5259685,Port of Tampa,seaport,42.91,Port of Tampa,42.91,89.57,288,109047,All Commodities,2.0702
E330000US1825800000,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",595891,364797,0.0733733275866904,0.0977559173641618,0.0831,72,1,41.643467,-85.0024051,Chicago Intermodal Hub,rail_intermodal,136.37,Port of Baltimore,472.21,76.15,258,102582,All Commodities,1.6855
E330000US3917800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Ohio",626665,337279,0.0772436337211898,0.0902858669240836,0.0825,73,1,39.4397469,-84.5657341,Chicago Intermodal Hub,rail_intermodal,232.73,Port of Baltimore,426.81,40.56,272,93099,All Commodities,1.9181
E330000US4699999999,"Remainder of South Dakota, South Dakota",322912,534480,0.0390419992481741,0.1438181518588123,0.081,74,0,43.6674723,-96.7957261,Kansas City Intermodal Hub,rail_intermodal,335.85,Port of Beaumont,950.13,121.03,248,53220,All Commodities,0.6139
E330000US2626600000,"Grand Rapids-Kentwood-Muskegon, MI CFS Area; Michigan",731507,240157,0.0904291356303723,0.0639210788275186,0.0798,75,1,43.054969,-86.2193493,Chicago Intermodal Hub,rail_intermodal,108.53,Port of Baltimore,565.35,115.64,271,108668,All Commodities,3.1388
E330000US1699999999,"Remainder of Idaho, Idaho",461596,417823,0.056483655710022,0.1121503826100222,0.0788,76,0,43.7969649,-112.3185879,Port of Portland,seaport,526.81,Port of Portland,526.81,136.19,281,83174,All Commodities,1.1216
E330000US2232400000,"Lake Charles-Jennings, LA CFS Area; Louisiana",322904,510399,0.0390409931245283,0.1372811112073287,0.0783,77,1,30.2295588,-93.3580154,Port of Beaumont,seaport,46.81,Port of Beaumont,46.81,32.87,180,52894,All Commodities,0.641
E330000US2299999999,"Remainder of Louisiana, Louisiana",405464,439320,0.0494241891492331,0.1179859692918436,0.0768,78,0,32.8293486,-92.3756501,Memphis Intermodal Hub,rail_intermodal,208.47,Port of Beaumont,215.98,158.15,252,77204,All Commodities,0.9416
E330000US4527300000,"Greenville-Spartanburg-Anderson, SC CFS Area; South Carolina",741623,192786,0.0917013789804924,0.0510617227915804,0.0754,79,1,34.1557959,-82.1278759,Atlanta Intermodal Hub,rail_intermodal,132.55,Port of Savannah,156.39,50.83,250,118998,All Commodities,3.9301
E330000US3610400000,"Albany-Schenectady, NY CFS Area; New York",420541,401414,0.0513203549252079,0.107695987026359,0.0739,80,1,43.1061353,-73.8553872,Port of Boston,seaport,152.06,Port of Boston,152.06,80.4,244,77926,All Commodities,1.0572
E330000US3999999999,"Remainder of Ohio, Ohio",423439,378084,0.0516848232159006,0.1013628132213214,0.0716,81,0,40.7716274,-84.1061032,Chicago Intermodal Hub,rail_intermodal,198.16,Port of Baltimore,411.61,27.89,208,111908,All Commodities,1.1369
E330000US1230000000,"Jacksonville-St. Marys-Palatka, FL-GA CFS Area (part); Florida",560967,259288,0.0689810948109298,0.0691143899318552,0.069,82,1,29.8904875,-81.4000404,Port of Jacksonville,seaport,36.34,Port of Jacksonville,36.34,59.29,246,92548,All Commodities,2.183
E330000US0940800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); Connecticut",538785,274723,0.0661913654720248,0.0733043829743222,0.069,83,1,41.3497173,-72.9002037,Port of New York/New Jersey,seaport,75.34,Port of New York/New Jersey,75.34,20.39,243,104070,All Commodities,2.172
E330000US0899999999,"Remainder of Colorado, Colorado",365608,390101,0.0444116811458339,0.1046249542249707,0.0685,84,0,38.0316514,-106.2346662,Kansas City Intermodal Hub,rail_intermodal,633.57,Port of Long Beach,731.83,80.15,253,61198,All Commodities,0.9644
E330000US2135000000,"Louisville/Jefferson County-Elizabethtown-Bardstown, KY-IN CFS Area (part); Kentucky",478383,310836,0.0585948804152876,0.0831076365371736,0.0684,85,1,37.9699453,-85.7026354,St. Louis Intermodal Hub,rail_intermodal,248.0,Port of Charleston,483.34,70.75,283,87209,All Commodities,1.5975
E330000US3099999999,"Remainder of Montana, Montana",243125,468193,0.0290075508321963,0.1258238487291711,0.0677,86,0,46.5052807,-108.4397631,Port of Seattle,seaport,657.72,Port of Seattle,657.72,265.91,276,43325,All Commodities,0.5255
E330000US4053800000,"Tulsa-Muskogee-Bartlesville, OK CFS Area; Oklahoma",371567,361087,0.0451611174965027,0.0967487988550881,0.0658,87,1,35.6175506,-95.3839106,Dallas Intermodal Hub,rail_intermodal,212.24,Port of Beaumont,389.45,45.43,252,55637,All Commodities,1.0732
E330000US4199999999,"Remainder of Oregon, Oregon",297360,398341,0.0358284403234737,0.1068617888650697,0.0642,88,0,45.593753,-117.1855796,Port of Portland,seaport,269.68,Port of Portland,269.68,244.93,266,49615,All Commodities,0.75
E330000US3616000000,"Buffalo-Cheektowaga-Olean, NY CFS Area; New York",413090,309808,0.0503832765145965,0.0828285751281904,0.0634,89,1,42.752759,-78.7781922,Port of Baltimore,seaport,266.96,Port of Baltimore,266.96,75.1,256,71150,All Commodities,1.3573
