NAME,GEO_ID,COMM,COMM_LABEL,VAL,TON,us
United States,0100000US,345,"Materials-handling, excavating, boring, and related machinery and equipment",0,0,1
United States,0100000US,349,"Other mechanical machinery, not elsewhere classified",768,0,1
United States,0100000US,349,"Other mechanical machinery, not elsewhere classified",0,0,1
United States,0100000US,35,"Electronic and other electrical equipment and components, and office equipment",1526,82,1
United States,0100000US,35,"Electronic and other electrical equipment and components, and office equipment",20377,3808,1
United States,0100000US,351,"Electric motors, generators, rotary or static converters, and transformers",0,0,1
United States,0100000US,351,"Electric motors, generators, rotary or static converters, and transformers",285,0,1
United States,0100000US,352,"Electric cooking appliances, electro-thermic, or electro-mechanical domestic appliances",101,6,1
United States,0100000US,352,"Electric cooking appliances, electro-thermic, or electro-mechanical domestic appliances",69,0,1
United States,0100000US,353,Line telephone or telegraph apparatus,0,0,1
United States,0100000US,353,Line telephone or telegraph apparatus,6,0,1
United States,0100000US,354,Electronic entertainment products (excludes parts),0,0,1
United States,0100000US,354,Electronic entertainment products (excludes parts),9657,3081,1
United States,0100000US,355,Computer and electronic office equipment,0,0,1
United States,0100000US,355,Computer and electronic office equipment,0,0,1
United States,0100000US,356,Prepared unrecorded or prerecorded media,0,0,1
United States,0100000US,357,"Transmission, and reception apparatus for radio, television, radar, and remote-control",819,1,1
United States,0100000US,357,"Transmission, and reception apparatus for radio, television, radar, and remote-control",0,0,1
United States,0100000US,358,Electronic components and parts,0,0,1
United States,0100000US,358,Electronic components and parts,1386,0,1
United States,0100000US,359,"Other electronic and electrical equipment, not elsewhere classified",356,39,1
United States,0100000US,359,"Other electronic and electrical equipment, not elsewhere classified",7587,0,1
United States,0100000US,36,Motorized and other vehicles (includes parts),1671,0,1
United States,0100000US,36,Motorized and other vehicles (includes parts),0,0,1
United States,0100000US,362,"Motor vehicles for the transport of goods, and road tractors for semi-trailers",0,0,1
United States,0100000US,363,Other vehicles,913,0,1
United States,0100000US,364,Motor vehicles parts and accessories (excludes motorcycles and armored fighting vehicles),583,37,1
United States,0100000US,364,Motor vehicles parts and accessories (excludes motorcycles and armored fighting vehicles),0,0,1
United States,0100000US,37,"Transportation equipment, not elsewhere classified",38,0,1
United States,0100000US,372,Aircraft and spacecraft,38,0,1
